20190214,528485724,1251,1550173007.4153903,96.15189656590698,2908.0480547072475,113.21464542453289,1550173006.4805202,323.1564085378336,[36.55612264 54.59406169 73.27502172 109.94952102 146.65096546 164.75603999 182.82518513 219.56905387 237.06166584 256.31693923 274.24307439],[1.30168245e+01 3.93972840e+02 8.32904805e-02 4.37471363e+01 1.11494056e-01 8.99281089e-02 1.13063087e-01 7.64126640e-02 8.85996256e-02 1.09494484e-01 1.20761429e-01 1.37527931e-01 2.29530776e-01 1.95914292e-01 2.26321191e-01],__,323.1564085378336,0.05267193873942882,
20190214,528485724,1271,1550172830.8874078,92.52155444933027,2586.952637135503,113.14990756010324,1550172829.4039505,304.5494689082366,[55.0096236 73.47094436 110.21949918 147.17858047 165.53085396 184.0457128 202.47430419 220.99577227 239.58828945 257.46439051 275.89083458],[1.36930209e+01 3.83772998e+02 7.65491877e-02 4.50558654e+01 1.38774174e-01 1.53131387e-01 7.96863812e-02 9.74559959e-02 1.07903326e-01 1.37826117e-01 3.13893276e-01 1.53209019e-01 3.91888345e-01 2.13947691e-01 2.60155053e-01],__,304.5494689082366,0.04987816849680237,
20190216,528853433,1246,1550349176.9275692,104.12963757830066,2012.1929227894652,116.99937975411555,1550349178.2403052,311.5182508853668,[54.8050908 73.46081918 110.63860594 147.0562947 164.83831351 183.33272182 220.5719378 237.24877948 255.41678515 274.45037987],[1.69089630e+01 3.26559652e+02 5.83720433e-02 5.06081311e+01 1.20410815e-01 1.70870917e-01 8.63762753e-02 1.05942631e-01 1.32810559e-01 1.61316106e-01 1.61552819e-01 2.71383875e-01 2.71448439e-01 2.59009661e-01],__,311.5182508853668,0.1485094213180193,
20190216,528853433,1250,1550345751.0844882,78.11208211736952,1356.370008935113,116.37976500495778,1550345750.6056142,313.2610562228472,[37.90603334 55.86305523 74.17917306 111.61538034 148.94906298 167.28308514 185.71177276 203.7762993 223.12399886 241.69013661 260.54064554 279.05160573],[1.59429195e+01 2.78417886e+02 6.45443199e-02 6.38662138e+01 1.72587782e-01 1.36329943e-01 1.29454930e-01 9.31794763e-02 1.08892417e-01 1.15367636e-01 1.33379533e-01 3.27053805e-01 1.62434681e-01 2.71623080e-01 2.10756054e-01 2.47400463e-01],__,313.2610562228472,0.06226447041641624,
20190219,529392751,1280,1550605166.5785925,95.48210966270186,3603.9130005850825,112.84528407726904,1550605167.716517,300.5291323393602,[111.99643748 149.22752168 167.96973854 186.38472489 223.68003201 260.67371235 279.97472722],[1.13313717e+01 4.27442149e+02 1.42232848e-01 3.57082750e+01 1.06411147e-01 1.48837423e-01 1.65432862e-01 1.68573239e-01 1.69162759e-01 2.90994436e-01 2.97240637e-01],__,300.5291323393602,0.1142172753890071,
20190223,530109351,1238,1550953305.193578,102.59573263687379,1557.7747917399952,117.2650177994047,1550953305.6613183,328.69016371341553,[36.1595379 55.11731671 73.94013086 92.49484463 111.12966308 129.17466299 147.88309662 166.76627976 185.9252147 221.85954827 257.21735502 275.34789661],[1.80697505e+01 2.75243747e+02 4.31420719e-02 5.78279794e+01 1.55332466e-01 1.56489411e-01 1.16357653e-01 1.67540595e-01 7.77891347e-02 1.63425747e-01 9.83323465e-02 1.26570271e-01 1.65484112e-01 1.55414593e-01 2.18057647e-01 3.22529745e-01],__,328.69016371341553,0.13649141186412916,
20190223,530115978,1244,1550950132.5207832,81.0181004730148,2426.348752736981,116.2963199399485,1550950134.0653434,308.95295427439856,[36.76421124 55.20879413 73.82840707 91.85726707 110.85525103 129.2822943 147.94579726 166.43488874 184.66025281 202.67061217 221.74811651 240.56139215 259.12787172 277.74069613],[1.27504289e+01 3.81869407e+02 7.78313554e-02 4.86285415e+01 1.31544862e-01 9.34847851e-02 9.90109272e-02 1.91887832e-01 7.70358207e-02 1.31587520e-01 8.87748173e-02 9.80833827e-02 1.14151551e-01 2.17284346e-01 1.32130192e-01 2.15715228e-01 2.02498290e-01 2.16086801e-01],__,308.95295427439856,0.07701284787707222,
20190225,530463787,1235,1551123575.5906305,78.56176032178946,1613.5521198766799,116.25254668812623,1551123575.4774594,312.8914902986265,[37.51949318 56.22274725 74.65047985 92.80076011 111.85747099 129.77313271 149.17177032 167.92941311 186.02253199 223.40798399 241.72580157 259.61831044 204.11193331 278.2308759],[1.51020289e+01 3.10184470e+02 6.45419083e-02 6.01755010e+01 1.38139089e-01 1.33503077e-01 1.64869979e-01 1.65620342e-01 8.15925662e-02 1.63110783e-01 9.81344186e-02 1.32871394e-01 1.40990135e-01 1.51109563e-01 2.95076396e-01 2.50943118e-01 2.83157936e-01 3.84343846e-01],__,312.8914902986265,0.0757714910060645,
20190305,531778247,1300,1551748679.2002864,96.54052862756606,2111.4246998216645,116.44839535565481,1551748679.4108922,323.8924200307745,[55.40685051 74.2846999 93.61515195 110.74951615 129.85299496 147.7264997 165.99958078 184.57501536 221.88170028 258.43139829 275.97989396 239.03550024],[1.55032464e+01 3.40248591e+02 6.11583123e-02 5.19844765e+01 1.25798909e-01 1.15888485e-01 1.81315204e-01 8.28958670e-02 1.73803528e-01 9.31850633e-02 1.11634524e-01 1.36688964e-01 1.46514833e-01 1.96219159e-01 3.21790523e-01 2.93472092e-01],__,323.8924200307745,0.09135059864759627,
20190308,532471556,1302,1552067353.416024,73.68650913161308,993.2140640429673,116.49650033191035,1552067352.5686471,296.24003483529094,[73.96568155 110.88302975 128.6407817 147.82305701 166.31309222 184.7594097 205.02993921 222.12156175 243.37575653 259.13589492 276.14803417],[1.70150512e+01 2.29592222e+02 4.70850592e-02 6.83846573e+01 1.60394553e-01 8.58232577e-02 1.42762865e-01 1.12378454e-01 1.15586137e-01 1.36076280e-01 2.60108289e-01 1.55709234e-01 2.58414830e-01 1.92754751e-01 2.67884078e-01],__,296.24003483529094,0.13138612403345215,
