20190212,528131101,1247,1550010366.3169231,123.46999573047007,6972.32916601999,83.00090315048794,1550010350.6037414,303.80536789685243,[59.55463063 118.08733869 178.46113058],[2.64442491 2.6457511 15.09935305 42.19943353 6.73305214 13.90370711 22.59094702],__,-44.70999999999998,303.80536789685243,0.06546659847717622,
20190212,528131101,1248,1550010357.2096233,123.46729035554225,6900.489384326246,81.82103893247384,1550010340.0364625,302.49994411406715,[59.83169858 119.92118079],[2.4483665 2.44948956 14.84340468 40.05300277 6.62842701 12.30977719],__,-44.72999999999999,302.49994411406715,0.05751688228536909,
20190212,528131101,1253,1550010322.5237422,123.47247037835541,6920.803684280739,94.02102012849845,1550010309.210061,294.9445799894849,[59.0681527 118.3000073],[2.4484533 2.44948959 15.01272783 44.99185214 7.77757896 15.67363906],__,-44.819999999999965,294.9445799894849,0.044396677832467944,
20190212,528131101,1254,1550010314.7692683,123.47555872027324,7001.135465613389,94.21190393998782,1550010301.7785013,298.71488778401135,[59.55401661 119.16319442 178.64329475],[2.64408286 2.64575098 13.05809692 35.65887966 5.80809456 11.46115913 18.7074999],__,-44.839999999999975,298.71488778401135,0.0635307602243997,
20190212,528131101,1263,1550010252.29633,123.4641563575298,6801.728040343887,94.80120693411789,1550010239.4735863,302.5959114037661,[61.05998519 122.29634784 184.12004759],[2.64429979 2.64575104 14.41888239 39.78172748 6.25448524 11.74782992 19.86492861],__,-44.99999999999997,302.5959114037661,0.04827717638254202,
20190212,528131101,1300,1550009992.7188888,128.61702477379617,6988.237586447089,99.52785023717763,1550009984.7863603,298.9228008040645,[60.9779727 122.05704793 183.2657696],[2.64367128 2.64575078 10.96282272 32.03902078 5.20557719 9.75413892 16.65055458],__,-45.639999999999986,298.9228008040645,0.05134259930617155,
20190212,528131101,1304,1550009965.883775,128.6191312407354,6902.606170124289,99.00834816558401,1550009957.2743285,293.2496608338046,[59.6836184 119.75192448 179.15927779 239.39511842],[2.82580841 2.82842641 10.64626159 33.42190528 5.46111929 9.32742051 14.84593085 16.83626172],__,-45.70999999999998,293.2496608338046,0.14568907731992356,
20190212,528100746,1232,1549993686.3155115,128.5998157913522,7189.750671869504,84.59463371620045,1549993664.840979,318.6881462733949,[58.93962389 117.99876861 177.09696947],[2.64400524 2.64575096 11.91939989 42.89195399 6.66274614 12.20159249 20.87670286],__,-42.839999999999975,318.6881462733949,0.04736064267044287,
20190212,528100746,1234,1549993700.3476908,131.17908357696345,7110.2605431318225,88.29635005861675,1549993682.4040496,321.6973959068856,[57.91242696 115.92522436 173.83377539],[2.64337354 2.64575069 10.15709745 32.16715956 5.06940585 8.03125682 13.26319245],__,-42.87999999999997,321.6973959068856,0.03445681159678114,
20190212,528100746,1242,1549993750.1833832,131.2134813436686,7261.663285119329,88.16055807981971,1549993732.378743,307.16328251413506,[58.20501022 116.25125353 174.30126747],[2.64348964 2.64575074 11.0828893 34.23082541 4.78408957 7.72995344 12.64213628],__,-43.02999999999997,307.16328251413506,0.08705470379810416,
20190213,528269862,1160,1550076307.7984676,131.20045463654978,5464.300362227848,82.04310784557505,1550076281.166985,302.23081892514966,[59.28102369 118.60987788 177.26322406],[2.64371141 2.64575042 7.09661316 28.81391131 5.36465171 8.84475681 16.64677079],__,-44.98999999999998,302.23081892514966,0.08756712325072173,
20190213,528269862,1161,1550076314.9807935,131.19393121801937,5614.650622977827,81.4836136840879,1550076288.0353081,305.7445128101834,[43.41918711 59.70843213 77.72767938 119.15623573 178.11497514],[2.9971155 2.99999874 7.91309174 32.31695633 8.85548314 6.01766123 9.43047438 9.78806039 16.4363092],__,-44.98999999999998,305.7445128101834,0.10605014708888123,
