20190213,528256659,1217,1550071796.3698633,121.38840205169527,212.66774560899432,-6307.08928804978,[ 85.0805308  204.23947443],[  5.11926911 345.13775033   0.76870389   0.34598733   0.76179797],__,341.75,536.35,0.17763067708058589,
20190213,528293492,1191,1550085850.7894835,48.09838540572582,275.213683902692,-6323.804012451222,[ 78.6821554  100.33634335 160.89141035],[  2.15909658 163.1066743    0.18603646   0.34126609   0.39051852   0.58860208],__,366.7900000000001,551.374,0.1183212169295082,
20190213,528293492,1192,1550085853.7230594,50.357341893178855,231.3295962936923,5265.265755749,[162.18133092 127.42548352 185.06436708 195.15579699  51.43696214   7.93040472  13.86478052  18.63833959 104.31801042],[  1.89796838 122.53652571   0.16703324   0.45388857   0.38897247   0.56608565   0.60222011   0.28563939   1.           1.   1.           0.35326488],__,366.7900000000001,551.374,0.10026264474475387,
20190214,528384304,1075,1550130349.276226,97.60230854074265,384.3315830875535,19292.16978093998,[50.88041338 64.96099776 30.86947075],[1.81326175e+00 3.60064156e+02 3.48414717e-01 3.61258571e-01 4.60078261e-01 2.29598508e-01],__,350.71000000000004,541.726,0.19778211780868962,
20190214,528384304,1248,1550129708.2341928,108.9257711974947,224.6629826780824,-6327.819389163728,[146.84788283 198.17866662],[  1.92373044 159.75379822   0.26325786   0.27518767   0.42003982],__,351.71000000000004,542.326,0.056198618095362654,
20190217,529041533,1121,1550439664.0728643,107.56331974544348,327.53711375713243,12063.941255316646,[ 73.58104917 114.1905255 ],[  2.5026208  299.98223577   0.34080368   0.4591837    0.7214029 ],__,388.72,564.532,0.0739805813065344,
20190218,529094053,1223,1550468420.1838455,95.35282280434512,166.37584095402545,10910.772699768304,[ 66.76861377 134.81629994],[2.80588438e+00 4.37134827e+02 1.24001620e+00 2.17794666e-01 5.12656025e-01],__,354.96000000000004,544.2760000000001,0.0370283524322037,
20190218,529219110,1120,1550524931.1418397,103.61751966716673,376.27945767314986,-14440.733972105552,[ 79.73664617 237.64658103 153.98628902 162.89310657 180.82876347 206.08114309],[  1.11373789 134.84860497   0.1899387    0.18857408   0.43538795   0.31292301   0.3374304    0.37633185   0.41315784],__,389.35,564.9100000000001,0.06506359042729923,
20190228,530894868,1160,1551314252.3734052,102.71276897505525,312.47481265452035,-4876.761985624792,[59.89847168],[3.29108735e+00 1.79146760e+02 1.43067420e-01 6.01956930e-01],__,397.11,569.566,0.025563323602894983,
20190304,531695133,1150,1551714404.618281,104.97139218369193,312.73558191706337,11037.2776759024,[ 72.63205097 219.52524392],[  3.29252591 330.06472511   0.59783087   0.34971907   0.6976844 ],__,351.7900000000001,542.374,0.041498889539568554,
20190305,531817181,1124,1551770507.889029,103.25036452370539,394.1572339971287,-14726.890097328635,[73.76788872],[1.51157016e+00 2.49641555e+02 2.34290506e-01 3.67921811e-01],__,364.01,549.706,0.06439625210874367,
20190307,532193985,1195,1551944135.8179433,104.20842210940287,404.4618408591839,15592.52463115209,[ 69.42175249 213.06302171],[  0.88058279 153.35904706   0.1634709    0.32358255   0.65201369],__,365.9200000000001,550.8520000000001,0.09515608829990842,
20190309,532576769,1121,1552116606.5031133,107.11199458904697,336.2465747336687,11130.640004423494,[73.9266216],[  3.000063   336.31696047   0.3727415    0.57634364],__,366.7900000000001,551.374,0.06466481709382758,
20190310,532710347,1108,1552184854.0323083,108.38628547282217,389.84674927581295,19077.625227883214,[58.18312492],[2.13695015e+00 4.06474439e+02 3.94869145e-01 5.55659383e-01],__,381.9,560.44,0.12504114007355052,
20190311,532975070,1107,1552321116.504641,100.32416702350352,371.9769651668063,17501.13122716475,[ 72.61346544 105.85963671 155.52234493 212.22346231],[1.62216587e+00 2.42595621e+02 3.41775508e-01 2.24132200e-01 3.18143545e-01 4.51962400e-01 5.69113946e-01],__,356.25,545.05,0.09855820393306997,
20190312,533226230,1156,1552433340.79164,90.86765498353927,521.1335052704895,43977.05378135887,[28.7803766],[  2.19670269 494.54564327   1.13460991   0.50029763],__,407.74,575.944,0.07619868004364476,
20190313,533347658,1110,1552493977.699669,111.75116819257441,316.423647791977,10367.453493893985,[63.98033114],[  3.74130524 390.27202286   0.59621162   0.55053556],__,357.4,545.74,0.06203941319750224,
20190320,534555830,1121,1553045118.7415075,100.69642206876803,401.4153745676614,18749.384738324516,[ 69.15426535 114.68166757],[  2.38268134 368.22256851   0.47320064   0.39239924   0.65111462],__,395.51,568.606,0.1272026520781657,
20190318,534256491,1186,1552921054.743011,108.41841261963778,346.17956166495884,14570.16677805349,[55.10955016 83.28305817 93.01983416],[2.14606397e+00 3.04896778e+02 3.28232599e-01 2.95865174e-01 4.27610785e-01 4.67294740e-01],__,362.08000000000004,548.548,0.14219341775807906,
20190317,534059266,1119,1552832280.8212323,120.28568976397933,217.89239547972383,7501.220758611886,[ 70.76645355 136.92061016 206.80208361],[2.07521101e+00 1.99985916e+02 3.73988969e-01 1.90559662e-01 2.41973971e-01 4.15703819e-01],__,361.07000000000005,547.942,0.06292409937527547,
20190315,533701703,1135,1552660098.6976173,103.21097152010901,348.9869653939087,16616.139570497413,[68.65913872],[  2.40588706 403.07946507   0.44792983   0.4701405 ],__,360.20000000000005,547.4200000000001,0.06484532718583808,
