20190214,528473737,1057,1550172062.174925,178.0401431013337,7971.077381321625,32.89168985191,1550172060.1017575,317.0329468284558,[25.02819727 51.87243834 77.78255313 103.68888638 207.16165775],[27.60045334 595.01096782 6.92833055 71.79296939 9.71027148 8.03516275 12.95168962 9.55183834 16.8793301],__,-49.75999999999999,317.0329468284558,0.0595376684927838,
20190214,528473737,1058,1550172058.513516,178.17129088954363,7909.486125122281,33.2375808965753,1550172056.6965377,318.0406730048251,[25.70035618 51.24777005 103.90865616 154.77316686 207.14939345],[27.53455131 594.6757067 6.32040321 71.4776994 8.02939741 8.91483065 9.37354431 19.58508471 16.73119512],__,-49.76999999999998,318.0406730048251,0.046324321788854234,
20190214,528473737,1059,1550172055.302742,178.3522184012039,7903.605228840914,32.90092253267026,1550172053.1798556,318.47250193710863,[103.90130132 207.3993734],[22.64017077 486.13535044 5.39419209 58.45701322 7.52808172 13.5064455],__,-49.76999999999998,318.47250193710863,0.026889349945756404,
20190214,528513333,1076,1550184639.4587731,114.53504726698131,6444.700225843579,108.98814475474654,1550184640.4198923,304.4562202879175,[107.0863967 213.57372685],[21.48546742 488.2056536 17.72255173 98.4571942 10.32936338 22.98585751],__,-39.02999999999997,304.4562202879175,0.040672266956854955,
20190214,528513333,1077,1550184643.1421418,114.50910032463524,6339.329607533917,108.05614436765332,1550184643.0326934,309.83870983811966,[108.74951542 215.80132341],[21.38054461 487.61007927 13.55721402 92.96738344 8.33211854 18.28273615],__,-39.02999999999997,309.83870983811966,0.05105601003037517,
20190216,528756142,1079,1550301840.0429173,146.06630640408844,6157.064967030205,106.50333935527605,1550301838.6130652,315.02255024567563,[56.26094574 84.70907575 113.22746855 139.51771467 225.63457435],[25.32717072 584.61640702 5.87566356 71.08004863 8.53432237 9.43056368 6.09080496 10.7191413 14.52174069],__,-34.089999999999975,315.02255024567563,0.07374419635168872,
20190216,528756142,1085,1550301804.8021214,147.7762194218254,6026.187552261757,106.73206998989811,1550301803.4165988,317.4139651786352,[28.34259191 56.58592576 84.50443446 113.22990092 141.12188633 226.23404505],[26.83396205 615.83406933 6.00841529 76.19066166 6.5670639 8.36147698 12.93438761 7.23745374 12.75301525 13.612018],__,-34.119999999999976,317.4139651786352,0.052291108993353534,
20190220,529473306,1299,1550644915.8506157,129.56207232838847,6132.010922919237,81.45591198035885,1550644888.7742305,325.92856261160836,[108.16123112 215.17009821],[21.25013335 483.97330599 7.52510154 77.63390582 6.20252738 12.38937592],__,-42.39999999999998,325.92856261160836,0.1405692392035927,
20190220,529473306,1300,1550644912.6865127,130.93782120521567,5985.922105826512,81.13028683049652,1550644885.0406084,336.53297218690227,[108.83607289 216.3510708],[21.57669427 484.57987347 7.75936071 75.99485233 4.90602 12.65312748],__,-42.39999999999998,336.53297218690227,0.06419388351307077,
20190225,530369426,1073,1551081367.0518105,144.93130446548167,8304.073705063724,106.8859766829067,1551081369.8020568,328.65013499592965,[106.31581058 212.57454922],[21.8891039 486.89129253 9.7496686 74.26998308 6.01905604 11.54344887],__,-44.809999999999974,328.65013499592965,0.034778562322680624,
20190225,530369426,1074,1551081370.5777159,144.96429935238294,8188.407541900309,106.00639231431997,1551081372.2538953,323.66115004971806,[106.36420327 212.62531714],[21.81484044 486.67544321 8.95152595 72.12769627 6.81387198 13.18577992],__,-44.809999999999974,323.66115004971806,0.024524166287676105,
20190303,531497972,1066,1551613625.6905358,153.40545552347334,7069.210702196136,105.09675313038491,1551613624.3261895,313.38082245216117,[109.25340865 218.37041067],[21.32099971 481.94027466 5.24163332 61.94200164 8.35610954 15.98329279],__,-46.20999999999998,313.38082245216117,0.02494659322399508,
20190307,532272942,1001,1551978919.144759,128.6649480764414,6662.862828641754,106.42170087690032,1551978917.9765007,314.21812643036236,[115.55708019 230.39111629],[21.50065023 486.55316064 14.24406598 91.99502287 7.25936852 16.29885456],__,-29.269999999999982,314.21812643036236,0.06473224769111587,
20190307,532272942,1004,1551978898.104122,128.43689089009627,6559.672640649836,107.06145838879887,1551978897.42989,321.7018749623098,[115.0946496 229.58014124],[21.47449701 486.67442361 17.85483022 107.98203983 8.88858707 20.43981705],__,-29.279999999999973,321.7018749623098,0.027245309273807757,
20190311,532958447,1063,1552315903.997947,152.7590269015864,7114.240312945399,106.27556549229433,1552315904.0142133,320.70801756577805,[27.7362537 54.48689947 109.20431789 217.94903314],[24.74340459 557.0943699 7.37029116 71.08312811 5.70940151 7.32931182 7.13998375 11.60294372],__,-47.869999999999976,320.70801756577805,0.0479789514092427,
20190311,532958447,1065,1552315913.155705,153.0687394689628,6899.179433753373,107.06034895945423,1552315913.6190531,322.20474602925617,[27.13891301 54.49504131 81.22170587 108.9981891 216.97282488],[26.01561143 589.14233038 6.78335427 72.38614828 6.56185385 6.96461985 11.77504834 7.35502867 13.15198605],__,-47.87999999999997,322.20474602925617,0.05391014041246982,
20190311,532919352,1077,1552304510.3628578,118.93409507348181,7261.264074838948,104.6272399338944,1552304508.784244,313.8911209652759,[27.45080211 55.74354435 83.09238621 111.69180154 138.71540637 165.02936876 222.12674701],[27.73878764 656.52249732 12.03905788 103.20184315 7.69860851 8.49466995 13.38458499 6.99430364 13.81934645 16.23355803 14.57612925],__,-48.14999999999998,313.8911209652759,0.08177244188073443,
20190318,534339896,1149,1552951529.9635494,178.85684733495475,6306.1984120553225,106.71004289233036,1552951528.8112764,329.25450849982576,[26.72053546 80.12870822 107.85263012 215.53264652],[24.90746437 549.64989885 4.18336117 59.96128244 4.68431859 9.89419658 7.9544066 11.92456045],__,-40.26999999999998,329.25450849982576,0.07941424979801992,
20190325,535607057,1157,1553520093.9890676,134.1413453685621,5692.270291593404,53.69395911008249,1553520039.0805185,312.50204442722213,[112.59188125 225.06900611],[21.33830106 481.94499473 8.2438846 72.24662956 5.19357444 12.13716469],__,-30.919999999999987,312.50204442722213,0.07011023569864172,
