20190214,528355590,1005,1550116895.4937408,27.990952163095322,331.28544046324475,98.0192096326902,1550116875.8997958,320.0684681257862,[ 75.70032981  94.61408074 113.71532217 132.48394801 151.71187188
 227.43807274],[  8.74514394 105.47856314   0.32002989  99.75356164   0.13041941
   0.17970993   0.22028774   0.27619896   0.23179276   0.33772425],__,320.0684681257862,0.06817739273960859,
20190214,528355590,1006,1550116908.0713325,44.13260914750015,473.14989420728665,103.92687182975726,1550116893.2157402,322.1159217856078,[ 59.02252707  78.23411679  96.84540183 115.93911366 135.86662691
 155.13198868 174.08565956 194.89687306 213.25749504 233.3580743
 250.63123866],[1.20738914e+01 1.31950106e+02 9.23199814e-02 8.76776364e+01
 2.35381597e-01 9.54422906e-02 1.23199436e-01 1.45068963e-01
 1.57930055e-01 1.23624542e-01 1.88542328e-01 2.43536288e-01
 2.21778234e-01 1.90348753e-01 2.34930385e-01],__,322.1159217856078,0.16845178465425062,
20190214,528355590,1007,1550116916.2048416,42.254990172183554,569.4833482073208,112.47904939846144,1550116910.2198348,320.3730198718834,[ 38.92770324  58.07745751  77.47151822  96.86466879 116.19593111
 135.53726481 154.97232471 174.38236869 193.70797793 213.54311959
 232.40483583 251.01492441],[1.31041640e+01 1.75909473e+02 9.37064212e-02 9.94421834e+01
 2.27580815e-01 1.76620730e-01 9.51885437e-02 1.11178217e-01
 1.06154499e-01 1.17005177e-01 9.87213351e-02 1.16146425e-01
 1.63512276e-01 2.52019152e-01 1.44991294e-01 2.30169012e-01],__,320.3730198718834,0.09157292178338236,
