20190212,528131101,1247,1550010366.3169231,82.83991767775576,122.14610549700957,6710.525853766043,[59.99423422 118.87734985 179.73656265],[1.28382315 182.05980394 0.65664622 0.99863058 0.33098351 0.7043225 1.08674349],__,-44.70999999999998,304.62622988707824,0.02468589822719084,
20190212,528131101,1253,1550010322.5237422,95.48768181426215,122.60426664043503,6579.56086969274,[59.675603 119.53313839],[1.40105208 186.32757169 0.70900722 0.99893092 0.40429893 0.80887686],__,-44.819999999999965,304.6003626046017,0.02488787794208415,
20190212,528131101,1254,1550010314.7692683,95.24128970111671,121.5682358655072,6570.487804939981,[59.54970009 119.9609753 178.99707982],[1.13460704 165.41079442 0.51017042 0.99771644 0.25761355 0.51098852 0.80405694],__,-44.839999999999975,304.6431966010245,0.03401088995970573,
20190212,528131101,1263,1550010252.29633,92.65163033719071,126.0595911229951,7183.346495244244,[61.34176262 123.91518717 186.17776409],[1.23902063 180.48895046 0.65926783 0.99837425 0.29516263 0.57709663 0.96059493],__,-44.99999999999997,304.06979079882683,0.025751150767544032,
20190212,528131101,1300,1550009992.7188888,98.51659542248032,129.35580281204616,7009.824250333746,[61.88011481 124.15715907 186.13402394],[1.01111282 150.10030385 0.45467863 0.99653219 0.21185406 0.4058408 0.66865553],__,-45.639999999999986,303.90040807480176,0.04017569906555565,
20190212,528131101,1304,1550009965.883775,99.64661128447459,126.48375773975997,6368.403955719783,[60.88004134 121.95429546 183.08889117 242.57791738],[1.1124827 149.28202707 0.47930936 0.99699544 0.23021243 0.40427186 0.64081651 0.78297174],__,-45.70999999999998,304.1738387830332,0.04407847494566506,
20190212,528100746,1234,1549993700.3476908,88.39151713534001,128.24619126622966,6987.735405994598,[56.95034295 114.50136672 171.29376999],[0.82674855 126.32087693 0.31640545 0.99538902 0.17528942 0.30822363 0.46969001],__,-42.87999999999997,305.6550853551491,0.04302642948828171,
20190212,528100746,1242,1549993750.1833832,91.0765454970897,126.96756861626893,6405.863618444778,[57.55831365 115.38055462 172.57418918],[0.79606628 114.42399382 0.3422758 0.99549831 0.14310736 0.22745597 0.36940496],__,-43.02999999999997,305.9766276527327,0.04794122278061922,
20190213,528269862,1160,1550076307.7984676,123.38946279257331,112.43647061165562,4099.026496275028,[48.25887555 98.51227355 148.52857452],[2.61763367 180.67284908 0.86085002 0.99941704 0.71389162 1.31175908 2.02175585],20,-44.98999999999998,304.9116364817921,0.45961037484179823,
20190213,528269862,1169,1550076364.2363093,82.6063866775879,127.4940642511162,4850.411527075508,[15.31304282 30.84390136 61.39728794 79.14182155 122.04850081 183.31936713],[0.81564573 95.23706046 0.25096742 0.99676495 0.23506186 0.2970607 0.18468323 0.31408729 0.29361286 0.51216772],__,-43.099999999999966,305.5823735474566,0.050864537436068696,
20190213,528269862,1175,1550076401.2533002,86.7033256046745,127.18495154449225,4698.3035383674105,[61.12543617 123.15303971 180.15222155 240.85662101],[0.73467191 85.03146728 0.24716579 0.99679922 0.165843 0.26366839 0.50747735 0.65168994],__,-41.099999999999966,306.6976074302196,0.055467991282243105,
20190214,528466553,1097,1550165290.901515,107.2273044530387,139.54387852519355,5726.997096148091,[58.60985939 117.59374979 175.84524226 214.53628583 236.14489974],[1.04029031 121.22747036 0.30632925 0.99638885 0.23988952 0.40539182 0.68538931 0.84802324 0.87910991],__,-41.51999999999998,306.6242118188367,0.050466609112194735,
20190214,528466553,1109,1550165212.1098206,107.81627074458845,140.4745305302868,5551.946219437883,[29.67237407 44.017428 59.04159242 74.52851006 118.05016857 147.00682697 176.56984137 234.91112177],[0.83586335 96.40324353 0.2134428 0.99589556 0.18567666 0.2231584 0.18141427 0.38047233 0.30446937 0.50762675 0.53475872 0.88329327],__,-41.71999999999997,306.4285478823185,0.0343533556639588,
20190214,528445164,1173,1550158750.7401662,109.57001827291471,120.87269826628888,5287.258165569095,[60.49551223 121.33619324 182.00134794 241.95130041],[1.11280814 135.86557794 0.35409228 0.99743027 0.23526887 0.38398203 0.61353036 0.92122607],__,-42.139999999999986,306.1601896349193,0.01771786084028397,
20190214,528445164,1176,1550158771.447178,110.61280244894525,125.53334567783735,5396.296363678384,[29.6392736 44.49304296 59.76699837 119.49932269 180.08054494 242.61141124],[0.74028286 90.28253194 0.24668809 0.99617233 0.20013625 0.22998289 0.1497557 0.27727411 0.47404235 0.70836466],__,-41.619999999999976,306.32415765099165,0.03607765894086695,
20190216,528889538,1223,1550357056.088963,97.27624196819784,117.3912998042473,5315.980351040685,[30.5754016 61.39547911 122.42101973 183.69296636 243.99979946],[0.88198017 109.4990084 0.34999147 0.99690183 0.24826095 0.15616048 0.24603349 0.36360432 0.63109692],__,-29.589999999999975,313.6243912129261,0.014165014280900052,
20190220,529597826,1131,1550702054.665057,94.67567999337956,112.47832322583949,5775.749629976168,[15.74720045 30.03298589 60.75911349 122.3472058 183.74569398 244.66036584 81.72140886],[0.95447392 133.81094343 0.44513795 0.99710778 0.16583423 0.32350796 0.15684237 0.27186157 0.44068066 0.60963679 0.28806711],__,-38.20999999999998,308.4112003095041,0.019069902390986916,
20190222,529813043,1180,1550804938.349272,89.96701463066931,124.20550923888148,5376.324237546703,[62.90912644 126.64540653 188.67766505 248.72791469],[0.75258071 92.33454412 0.28423966 0.99621505 0.14592029 0.25006383 0.45322745 0.608082],__,-43.73999999999998,305.07550899809604,0.04386810096438675,
20190222,529965781,1250,1550876927.4416323,107.62017682625022,145.1602725042775,6675.191684698606,[29.43035728 44.26533681 58.66647255 117.49567717 176.63573867],[0.91325289 121.59737274 0.26542837 0.99534051 0.20046701 0.21650255 0.20220408 0.36532355 0.65302787],__,-43.24999999999997,305.4273039146602,0.030194754644557918,
20190222,529965781,1251,1550876922.2903926,106.45746791093757,145.53246997865216,6700.937212270447,[30.10922143 44.56659283 59.19408222 118.82986759 178.26497414 239.09649688],[0.8973351 116.15689939 0.28537256 0.99510314 0.23206784 0.24656825 0.18592742 0.33994849 0.58455901 0.82968061],__,-43.24999999999997,305.38390403268016,0.030670156305378962,
20190222,529924368,1122,1550858592.202579,107.58658800109735,96.53667044859628,6310.6184181820345,[30.40896929 46.1292151 61.00388347 121.91771225 182.21308191 243.4729189],[0.67411902 119.60868811 0.39165252 0.99605561 0.21216022 0.21032896 0.12929472 0.20978389 0.31723293 0.48440253],__,-47.109999999999985,303.34728358956374,0.024046648578722636,
20190226,530637329,1072,1551201895.8049939,108.30500026823765,111.61012275202204,5721.801778658458,[60.3601139 121.13032197 181.32013735],[0.99100206 141.29539808 0.43658751 0.99747313 0.19101833 0.34416175 0.55001635],__,-28.70999999999998,314.2348786183662,0.027060154727798196,
20190227,530718012,1160,1551235840.9670424,107.17558450344025,138.27421088252092,5667.390412663256,[29.93692853 43.87880774 58.51229908 117.18215313 176.47286269],[0.89548947 107.42959421 0.25387947 0.99631804 0.36178802 0.30262777 0.18902141 0.31703242 0.56782866],__,-26.649999999999977,315.3685468999938,0.055478548400307304,
20190227,530837746,1184,1551290837.3574698,110.5054976246242,150.77419079477647,5274.308103170491,[29.32440594 43.7127799 58.47058668 117.1742156 176.68126454 235.89417159],[0.75686761 74.50437034 0.20878522 0.99593371 0.20009374 0.24441979 0.14264218 0.25430769 0.45702219 0.52184494],__,-26.119999999999976,315.64586953654117,0.08093538079081739,
20190228,530900752,1138,1551314158.1376908,98.48457806068899,114.24247122934189,5860.655799130743,[15.44933921 47.24205488 61.34775176 79.94633594 123.5756712 185.90626695 248.7651808],[0.71973689 101.88694668 0.32290138 0.99616093 0.15649032 0.22840858 0.13418687 0.25913795 0.2365077 0.3692116 0.5803974],__,-31.44999999999999,312.5004983818824,0.03326776356988529,
20190301,531225442,1150,1551467152.242727,108.68598138470301,125.21242407021302,5419.7651677996955,[14.45918043 29.8598668 59.68580318 120.33125921 180.01411765 242.39505176],[0.78482224 95.12183659 0.24218825 0.99637247 0.21695486 0.20076361 0.17118255 0.28386842 0.44609969 0.60419092],__,-31.059999999999974,312.7695289676699,0.03236364421983712,
20190305,531760390,1128,1551748140.0852158,94.80512154558232,135.1964482989645,5774.1293474802615,[15.19441334 29.47067999 45.13344157 60.13031725 79.89749559 120.87377736 181.64259485 242.9530718],[0.65581547 79.17005293 0.18266009 0.99554237 0.21277521 0.30074023 0.29018709 0.14204623 0.265457 0.22933882 0.39984994 0.56271579],__,-30.819999999999965,312.8373296933175,0.029247449698579606,
20190306,532115657,1125,1551911149.3292792,90.15185148248077,105.88912497462914,5447.989677791589,[16.01628527 62.00881852 124.07303836 186.53635327 247.72412849],[0.76941761 111.06709386 0.38154778 0.99682399 0.20458763 0.14913826 0.23729586 0.45126495 0.56524404],__,-35.389999999999986,310.215078343624,0.017662676687273143,
20190306,532080023,1100,1551891690.103838,90.01229163272833,115.9349168296104,5798.943970907829,[14.90163767 29.947223 45.44408229 61.29789578 121.38181184 182.21092958 242.31633954],[0.7076888 99.84203114 0.30529612 0.99613801 0.26471488 0.14721772 0.17084568 0.12903262 0.20642768 0.33276332 0.57790867],__,-32.76999999999998,311.7229102229636,0.018109880426989196,
20190307,532131051,1120,1551922574.287802,96.6874316749407,117.00062531459027,5583.882250728986,[14.40506922 31.0048734 46.00246893 61.21343783 77.89554965 92.55424576 122.4594235 183.29253157 244.25590048],[0.71580585 97.91653984 0.2637557 0.99627261 0.19519458 0.17606807 0.24603589 0.14694241 0.26456223 0.3055326 0.24286872 0.38018724 0.58599543],__,-34.639999999999986,310.68577403800714,0.045827955019412385,
20190309,532520957,1062,1552095613.8992298,75.99855834595675,105.11131436964425,6293.002659840514,[15.65224576 30.27809976 61.728882 123.42288189 184.98276767 245.59522853],[0.83982146 130.61468146 0.52272384 0.99666377 0.27040258 0.22403784 0.13966906 0.21653173 0.33874754 0.54984333],__,-35.91999999999999,309.61580602286944,0.035440264018167564,
20190311,532880874,1118,1552274913.8739796,106.77424711531533,121.8920282360483,5472.225895195626,[15.25515675 30.79409634 47.00356984 60.73735993 122.02258731 183.5070944 244.43318934],[0.73868975 92.58315606 0.29578337 0.99615602 0.15658605 0.29593515 0.22787145 0.13535907 0.22024294 0.34161488 0.54345427],__,-40.309999999999974,307.2512345972775,0.050004420223681637,
20190316,533819833,1116,1552707128.6759079,107.19399816503929,111.15199209674475,5787.848205039876,[15.2200303 30.46222539 45.62576732 60.53151192 79.31525968 90.31578624 122.6255652 183.31000968 245.03891487],[0.77621869 113.50926071 0.38734556 0.9964908 0.18366281 0.20483971 0.28648574 0.13180609 0.26770607 0.30125439 0.20128265 0.33590398 0.49302183],__,-36.39999999999998,309.58572778785305,0.03610977902889962,
20190318,534251910,1153,1552919632.0747626,108.2955742079984,142.74603623415808,5226.873459607683,[14.15093005 28.87769237 43.01509203 57.80454523 115.03133473 173.42963252 236.12330053],[0.70044083 74.63869942 0.1600764 0.99586513 0.196197 0.22633019 0.2482408 0.16113877 0.2778496 0.4218927 0.66713733],__,-38.41999999999999,308.38910953752156,0.06590995740418823,
20190319,534369939,1085,1552966412.5276167,110.19483734825393,104.9584000757625,5850.077858391202,[15.51104376 30.3585224 45.88717608 60.73133099 81.69576372 121.04091444 180.52919067 241.27885944],[0.75256538 118.39591994 0.38263505 0.99659774 0.14298744 0.18338067 0.24940368 0.13832881 0.30722159 0.23398574 0.3284673 0.60743718],__,-36.50999999999999,309.6147255549729,0.02476946518865561,
20190321,534866445,1121,1553184249.4818165,108.0073851458608,120.36377859391712,6197.150406736862,[14.68336612 30.06992686 60.16936971 80.88820476 120.62990096 180.74522752 241.52490834],[0.76389206 109.03799266 0.31455424 0.99594387 0.19756478 0.2265269 0.14835972 0.24839696 0.25447809 0.43891508 0.56987834],__,-32.39999999999998,311.7774741285737,0.04694623148754376,
20190322,535141599,1116,1553298570.0503075,106.98704283905374,101.04429498450398,5673.4789022652885,[15.68580598 31.43510038 45.54561423 61.18908233 122.30895799 183.59383523 244.9106089],[0.8798717 136.35080186 0.44918105 0.99742282 0.24267295 0.27195521 0.30022125 0.16216331 0.27730338 0.41812087 0.63414676],__,-29.349999999999966,313.8604739016241,0.03526637570175678,
20190323,535250369,1157,1553352566.5829217,108.44664481820573,136.3230117105648,5578.083764694245,[59.72146529 119.79206448 179.98499986 241.12748262],[0.77871619 94.75996145 0.23537281 0.99611215 0.16421958 0.28137831 0.49088277 0.73247279],__,-28.669999999999987,314.1126852880717,0.0326322244720391,
