20190212,528132990,1009,1550005905.0,49.14324729801774,405.6463504140792,102.49812655013578,1550005889.3550408,307.1720639813139,[262.56880036 245.11052455 227.51055048 209.78577243 192.74073532
 174.75459051 157.65370524 139.41637973 122.36011293 104.97970839
  87.52823823  70.13850063  53.22407969],[ 57.02171997 578.34213712   3.40459338 355.32456875  17.0923319
  14.82468855  20.66615366  11.13636841   8.11759939  10.36190191
   7.75932093  13.06807891   9.17917428   8.81137546   9.47235667
  11.70470103  16.42818036],__,307.1720639813139,0.062138220579091734,
