20190212,528121421,1212,1550001733.105328,117.29182293255813,4753.734000651641,91.14592216356245,1550001715.1926975,306.98007076776486,[ 25.87137805 130.7681285  145.40247592 260.79073036],[  43.6456824  1317.03974542    7.43214499  145.7552309     5.57605185
    7.77697383    9.32821434   13.46779502],__,306.98007076776486,0.21132217458955127,
20190212,528121421,1214,1550001719.206227,119.40506953408872,4841.749592763512,92.69298440444463,1550001702.552162,308.15074957656157,[ 26.42688172  51.85425176  78.62064066 103.52506738 130.07703761
 259.67642204],[  49.28342453 1474.06009914    8.31010993  161.78241093    6.10496935
    7.16053711    9.90804843   10.97700511    8.72653977   16.76048633],__,308.15074957656157,0.12630846638550658,
20190212,528135910,1214,1550008321.5828872,110.83742668858865,3997.5225702360776,110.0752316903532,1550008322.0455406,300.75978944106913,[ 25.00655464  51.5565264   76.75441398 102.35972683 129.11610174
 258.7957457 ],[  48.66057576 1433.95006038    8.45636675  157.97105673    6.41307682
    7.42791165   10.29249641    9.63402729    6.68818364   13.40864825],__,300.75978944106913,0.1732174315679544,
