20190215,528673253,1109,1550256980.1214871,102.9255674543788,2427.0606426284176,113.4258189384301,1550256979.6420426,300.3912007359951,[99.29057445 198.83452128],[1.54678105e+01 3.65658358e+02 2.55386438e-01 4.53698344e+01 2.04948783e-01 5.17414643e-01],__,300.3912007359951,0.04231790802029497,
20190215,528673253,1114,1550257022.1186483,106.16225252534511,2114.45715765372,113.65064565759796,1550257021.2169514,307.608119100706,[24.97844875 49.1627367 74.74898553 98.87682491 197.92311484],[1.68139237e+01 3.35341055e+02 9.74139226e-02 4.87441121e+01 1.79546794e-01 1.81168352e-01 2.02659970e-01 1.15098767e-01 2.56494324e-01],__,307.608119100706,0.06076647675590786,
20190215,528673253,1123,1550257100.8249643,105.21432112343354,2342.1169149839843,111.91851597059078,1550257098.7801535,305.31876552884677,[24.54619983 48.11303719 99.31637567 198.47383662],[1.59511623e+01 3.55338610e+02 1.41026984e-01 4.63704553e+01 1.63876696e-01 1.48016371e-01 1.29590237e-01 3.05463199e-01],__,305.31876552884677,0.07051974577197812,
20190215,528689027,1108,1550262779.4472413,119.01353420856107,5209.689054252327,107.96472934859344,1550262779.4515867,297.9975658125468,[97.8899113 195.83233979],[1.04049767e+01 4.51748005e+02 2.62122893e-01 2.63845912e+01 1.93692169e-01 4.24580258e-01],__,297.9975658125468,0.019798565483804816,
20190219,529361650,1067,1550607992.3260663,136.37859695222465,5564.411358949223,106.4173238943366,1550607990.7589805,298.9891083703808,[24.38649942 48.6964143 73.23314558 97.59303021 122.40337191 153.35235508 195.79678216],[1.10222435e+01 4.49512365e+02 1.46400629e-01 2.42291111e+01 1.13653322e-01 1.47700961e-01 2.05579407e-01 1.32592715e-01 2.69100637e-01 2.20958370e-01 3.25502214e-01],__,298.9891083703808,0.06692117056902376,
20190219,529361650,1246,1550606978.0102506,141.44901199285803,5703.424326552537,108.0208733218224,1550606977.4923646,314.63662239825544,[24.53988847 48.78889767 73.5768055 98.61328356 123.3414119 153.89483833 197.15850884],[1.11258744e+01 4.47863563e+02 1.36423953e-01 2.48093954e+01 1.24503458e-01 1.04905197e-01 1.38852618e-01 9.84183803e-02 2.15634546e-01 1.78384406e-01 1.98118228e-01],__,314.63662239825544,0.05472651819860334,
20190227,530696852,1049,1551228121.0402486,128.17360018510522,5533.564994490197,108.09381053167185,1551228120.2908587,296.45656603234295,[25.87887674 52.15061666 78.13971197 104.37872969 129.81268232 151.82872168 182.90710192 208.5014697],[1.04957890e+01 4.52631199e+02 1.17524026e-01 2.43145516e+01 8.95271704e-02 1.01923121e-01 1.30988875e-01 9.84968991e-02 1.84981191e-01 1.87595260e-01 2.97365842e-01 2.11619239e-01],__,296.45656603234295,0.04589004849634095,
20190301,531217131,1152,1551466102.7092373,120.88650680138502,5265.46960375852,107.76815202451549,1551466101.4884589,314.02283034108996,[96.89657336 193.82733124],[1.03724702e+01 4.50022066e+02 1.75890029e-01 2.70623996e+01 1.34375337e-01 2.98846950e-01],__,314.02283034108996,0.018627981228420777,
20190301,531217131,1169,1551466223.7131596,118.3936205977256,5472.484225467136,110.40693289834611,1551466225.3979838,311.20364099774264,[24.54094429 48.38342793 72.139304 91.85989059 96.368581 144.66448693 191.96172847 287.0708108],[1.28175192e+02 7.19256779e+03 1.29921063e+01 3.29497566e+02 7.93420217e+00 8.74639771e+00 1.19539655e+01 8.78068495e+00 6.86465810e+00 1.32853309e+01 1.31864631e+01 1.99835309e+01],__,311.20364099774264,0.17504530777205188,
20190301,531237775,1100,1551472118.1630704,125.37270799919762,5664.593553055831,108.60248803274614,1551472118.4398017,315.797384524819,[24.7225845 49.10482184 72.88064932 98.70330564 123.24468028 149.26344369 197.50942526],[1.00827879e+01 4.53973058e+02 2.00133076e-01 2.55186283e+01 1.11450731e-01 1.28081210e-01 1.69832195e-01 1.04086112e-01 1.97184461e-01 2.01156939e-01 2.07214427e-01],__,315.797384524819,0.08872021846422336,
20190306,532109091,1115,1551902851.82708,113.65708368162382,5362.080765999518,105.42486984314723,1551902848.968016,312.38084605634197,[26.81499465 48.21169682 73.2357513 97.7824184 161.61826459 195.6207838],[3.47206139e+01 1.63809251e+03 1.56395051e-01 9.54433734e+01 1.31196294e-01 1.41508675e-01 1.59983880e-01 1.00446388e-01 1.94057656e-01 2.40300909e-01],__,312.38084605634197,0.10139358002700068,
20190306,532109091,1125,1551902770.3611186,111.337461225694,5288.742358735146,108.02319100005754,1551902770.2465744,306.9146746494261,[24.2199946 48.22802989 73.22474299 97.61215343 160.85274575 195.11582133],[3.46427770e+01 1.64991865e+03 1.45008200e-01 9.54522592e+01 1.38576480e-01 1.71979599e-01 1.65940430e-01 1.02683119e-01 1.99110460e-01 2.19821017e-01],__,306.9146746494261,0.06163484209463306,
20190306,532096032,1154,1551898001.999296,157.83455012197163,5672.6817260680955,107.40488318670292,1551898000.6051626,322.9011281082333,[46.10316944 70.64542498 94.50857551 116.45270823 158.02030376 188.25182116 281.66958863],[1.22365855e+01 4.39300260e+02 9.24148376e-02 2.50714887e+01 1.44515611e-01 1.74657498e-01 1.17413256e-01 2.09983252e-01 2.46890715e-01 2.55640090e-01 3.47198556e-01],__,322.9011281082333,0.17546822450792202,
20190312,533189022,1226,1552417963.89326,117.92915195274759,4806.766504818096,97.0169693664543,1552417952.2983742,298.8136951253049,[25.46806801 49.03390653 98.60776981 155.26609948 195.67135165],[1.09361122e+01 4.44889635e+02 1.53272410e-01 2.77760770e+01 1.24489178e-01 1.29991620e-01 1.11412794e-01 2.06038563e-01 2.96542661e-01],__,298.8136951253049,0.13575900928610612,
20190313,533347562,1151,1552498300.4943366,138.98529680926384,5148.8155261715565,81.94532074455913,1552498274.0324836,317.8740417991747,[24.19311192 48.2587325 72.08005573 96.60207535 120.26159723 152.90546156 192.60731279],[1.18636502e+01 4.39035845e+02 1.04915262e-01 2.71757301e+01 1.07879913e-01 2.25210583e-01 1.50984248e-01 1.01550111e-01 2.03980276e-01 1.80081096e-01 2.24762485e-01],__,317.8740417991747,0.06268276907523251,
20190315,533784076,1082,1552690331.4456775,107.469372823654,5512.978921457818,107.07847418548052,1552690330.1283035,311.0643402519758,[24.5037803 49.90644532 74.80584546 99.16850926 123.09794755 156.64375123 148.30031928 198.79046604],[3.30821664e+01 1.69673406e+03 1.62457729e-01 9.57697314e+01 9.60287370e-02 9.58770094e-02 1.40373279e-01 1.04296348e-01 1.93820174e-01 1.73392251e-01 1.97118932e-01 2.23319566e-01],__,311.0643402519758,0.10684422732907195,
