Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
ZE|1278|64.334366|-149.04044|155.1|1278|2019-02-11T21:14:31.006000Z|2019-03-15T15:14:31.004000Z
ZE|1279|64.343907|-149.044136|149.9|1279|2019-02-11T21:09:06.349998Z|2019-03-19T16:39:06.347998Z
ZE|1280|64.352821|-149.042719|150.7|1280|2019-02-11T21:03:08.267998Z|2019-03-20T01:33:08.265998Z
ZE|1281|64.361048|-149.046368|147.9|1281|2019-02-11T20:57:39.885998Z|2019-03-17T16:57:39.883998Z
ZE|1282|64.368097|-149.032924|148.9|1282|2019-02-11T20:50:12.940000Z|2019-03-20T10:20:12.938000Z
ZE|1283|64.375242|-149.027026|142.9|1283|2019-02-11T20:44:06.150000Z|2019-03-19T13:14:06.148000Z
ZE|1284|64.383733|-149.017833|140.9|1284|2019-02-11T20:37:14.700000Z|2019-03-19T13:07:14.698000Z
ZE|1285|64.392298|-149.012867|139.0|1285|2019-02-11T20:29:19.446000Z|2019-03-20T00:59:19.444000Z
ZE|1286|64.401488|-149.014778|138.1|1286|2019-02-11T20:24:30.359998Z|2019-03-19T12:24:30.357998Z
ZE|1287|64.409441|-149.021055|136.4|1287|2019-02-11T20:17:58.640000Z|2019-03-19T13:47:58.638000Z
ZE|1288|64.41629|-149.032626|134.3|1288|2019-02-11T20:11:28.536000Z|2019-03-19T16:11:28.534000Z
ZE|1289|64.424598|-149.036022|132.8|1289|2019-02-11T20:05:02.782000Z|2019-03-19T09:35:02.780000Z
ZE|1290|64.431631|-149.046072|131.7|1290|2019-02-11T19:54:21.046000Z|2019-03-19T11:54:21.044000Z
ZE|1291|64.440729|-149.053685|131.2|1291|2019-02-11T19:44:24.842000Z|2019-03-15T09:14:24.840000Z
ZE|1292|64.449792|-149.053923|125.4|1292|2019-02-11T19:27:10.983999Z|2019-03-20T09:57:10.981998Z
ZE|1293|64.457654|-149.051647|125.9|1293|2019-02-11T19:19:37.796000Z|2019-03-19T03:19:37.794000Z
ZE|1294|64.467243|-149.053556|124.3|1294|2019-02-11T19:12:58.921998Z|2019-03-19T05:12:58.919998Z
ZE|1295|64.473127|-149.069083|123.1|1295|2019-02-11T19:07:17.203999Z|2019-03-19T01:37:17.201999Z
ZE|1296|64.478815|-149.082041|121.6|1296|2019-02-11T19:01:14.986000Z|2019-03-20T13:01:14.984000Z
ZE|1297|64.488176|-149.077499|120.3|1297|2019-02-11T18:56:44.243999Z|2019-03-19T08:56:44.241998Z
ZE|1298|64.496245|-149.071542|118.8|1298|2019-02-11T18:52:12.470000Z|2019-03-18T22:52:12.468000Z
ZE|1299|64.504774|-149.071414|121.4|1299|2019-02-11T18:44:48.201998Z|2019-03-19T05:44:48.199998Z
ZE|1300|64.513965|-149.071816|116.4|1300|2019-02-11T18:39:19.105998Z|2019-03-18T19:39:19.103998Z
ZE|1301|64.522653|-149.067864|115.7|1301|2019-02-11T18:33:30.895998Z|2019-03-19T13:33:30.893998Z
ZE|1302|64.531057|-149.074189|112.0|1302|2019-02-11T18:26:34.549998Z|2019-03-19T09:56:34.547998Z
ZE|1303|64.537579|-149.083163|111.0|1303|2019-02-11T18:17:58.812000Z|2019-03-18T22:47:58.810000Z
ZE|1304|64.549804|-149.083236|111.3|1304|2019-02-11T01:49:14.322000Z|2019-03-21T11:19:14.320000Z
ZE|1305|64.556227|-149.097445|110.9|1305|2019-02-11T01:24:02.926000Z|2019-03-20T15:54:02.924000Z
ZE|1306|64.563274|-149.1011|108.7|1306|2019-02-11T01:00:39.732000Z|2019-03-20T16:30:39.730000Z
