20190211,527958214,1009,1549922462.904435,
20190214,528518474,1018,1550187603.6608558,
20190214,528510459,1006,1550181899.3713295,
20190221,529788403,1303,1550791697.3072612,
20190221,529775831,1303,1550790791.0222728,
20190225,530501643,1029,1551139191.9725142,
20190226,530501643,1023,1551139279.2908843,
20190226,530501643,1024,1551139272.3555596,
20190226,530501643,1025,1551139263.1366627,
20190226,530501643,1026,1551139249.612715,
20190226,530501643,1027,1551139234.7407212,
20190226,530501643,1028,1551139220.3709748,
20190226,530501643,1029,1551139205.1921885,
20190228,531043310,1015,1551387213.479384,
20190318,534319912,1149,1552942025.468507,
20190318,534319912,1150,1552942041.8142612,
20190318,534319912,1151,1552942058.294084,
20190318,534319912,1152,1552942071.7430508,
20190318,534319912,1153,1552942089.3222184,
20190318,534319912,1155,1552942117.5141273,
20190318,534319912,1156,1552942130.3851213,
20190318,534319912,1157,1552942143.4702353,
20190318,534319912,1158,1552942156.4126027,
20190318,534319912,1159,1552942172.5121663,
20190318,534319912,1160,1552942187.4244373,
20190318,534319912,1161,1552942204.7462318,
20190318,534319912,1162,1552942221.8092473,
20190318,534319912,1163,1552942233.5080307,
20190318,534319912,1164,1552942246.6306791,
20190318,534319912,1165,1552942258.5218768,
20190318,534319912,1166,1552942271.683008,
