Equipment,Date,Flight_Number,Station,Closest_Approach_Timestamp,Meas_Speed,Meas_Distance,Meas_Closet_Approach_Time,Meas_Closest_Approach_Timestamp,Meas_Sound_Speed,Meas_Source_Frequency_Array,Variance,Data_Misfit_Value,
A359,20190309,532558077,1012,1552130271.97211,237.2698831,7366.188441733830,101.854175316106,1552130275.46687,306.148485134049,[38.64299917 46.21981664 136.64100102 199.42398975],[7.49628556e+01 2.32864898e+03 2.03675149e-01 9.67161410e+01 2.21922608e-01 2.49287747e-01 5.79809778e-01 7.53140753e-01],0.2938455816018550,
A359,20190309,532558077,1013,1552130271.97957,185.0047529,2812.924556947280,95.538083859394,1552130269.01517,307.289475686808,[82.58820852 215.56097581],[5.90258970e+01 8.98653184e+02 1.31148756e-01 9.80290762e+01 2.61627328e-01 4.53675043e-01],0.3428413020421300,
AS50,20190227,530888457,1302,1551311019.91085,44.35304123,1464.744591193970,113.852844341470,1551311017.19159,319.582894369090,[19.9218482 39.18312317 59.48474929 69.79685774 79.2188014 89.69537291 97.53362436 118.88265802 139.93416861 158.75867456 177.93494027 189.38205887 197.72674498 209.85529384],[1.37940651e+01 4.56617875e+02 1.86475843e-01 9.93429257e+01 1.27063304e-01 9.77146105e-02 8.63356437e-02 9.50494717e-02 9.93651654e-02 1.14498652e-01 1.02356441e-01 1.12688827e-01 8.46133702e-02 1.22107825e-01 1.34793959e-01 1.83311225e-01 1.53983792e-01 1.36560772e-01],0.1084829643991230,
AS50,20190227,530888457,1303,1551311027.44594,47.94686474,1151.850913664980,118.090416118809,1551311027.77234,319.846570818017,[19.68505538 39.19565781 59.115925 69.84405957 76.84192618 86.64965781 98.09168021 117.73606445 138.84972748 157.28929447 175.70825947 188.08973474 195.99388428 207.71413808 226.80689572],[1.48889447e+01 3.58250289e+02 1.17715220e-01 9.92594964e+01 9.26093629e-02 8.15161723e-02 8.08461947e-02 8.99355827e-02 8.52815568e-02 1.27552132e-01 8.75596230e-02 9.49308203e-02 9.20212605e-02 1.17745456e-01 1.30464345e-01 1.84789768e-01 1.71287589e-01 1.57827123e-01 2.22073194e-01],0.1622886508933850,
AS50,20190227,530888457,1304,1551311026.64942,49.38163766,618.465686553443,119.687315027687,1551311027.49629,319.971983880410,[19.52705079 39.03624589 58.57584718 69.15414136 77.46232246 87.60549156 97.78620664 116.93346614 137.48368044 156.07421675 175.56107876 195.05982499 206.53919136 225.32356376],[1.29778654e+01 1.62601477e+02 7.44585121e-02 8.41038943e+01 8.21197097e-02 8.14685041e-02 8.55143760e-02 1.19875314e-01 1.05143809e-01 2.21786511e-01 9.41826421e-02 9.42749250e-02 1.03823856e-01 1.07644281e-01 1.20898347e-01 1.22202439e-01 1.29339615e-01 2.71085728e-01],0.0652182503547778,
AS50,20190228,530888457,1303,1551312065.72675,49.79097885,876.483857938458,65.213733080292,1551312013.69707,320.663109873789,[19.29894736 38.73700409 49.10478825 58.0238233 68.4566144 76.2807136 96.24891907 115.93429044 137.17845433 154.56165156 174.38093456 191.85525587 205.95145989],[1.54202915e+01 2.72091179e+02 1.22911547e-01 9.92197599e+01 9.81027493e-02 9.79087670e-02 2.48463095e-01 9.74655441e-02 9.69270692e-02 1.04017924e-01 1.07358908e-01 1.30636820e-01 1.05527374e-01 1.52868598e-01 1.54736746e-01 1.90624353e-01 1.74531049e-01],0.1298869585327800,
AS50,20190228,530888457,1305,1551312075.14392,44.29961226,1040.534141188930,74.582160782216,1551312033.78348,318.902031250010,[59.24392854 78.35915441 98.55073197 117.55454866 138.13991777 157.0561946 176.63778261 196.61930461 207.65256403],[1.37328950e+01 3.17323977e+02 2.27987711e-01 9.93728280e+01 2.00394991e-01 2.03325097e-01 1.94787397e-01 1.73089858e-01 1.80579725e-01 2.03470067e-01 2.19880842e-01 2.46124121e-01 2.44979230e-01],0.0991357223710500,
AT73,20190213,528271370,1160,1550087774.49701,153.947533,4321.134396940470,111.669591317593,1550087775.06354,329.780975994785,[68.6034894 135.9018188 202.92017373],[1.45879346e+01 4.08861574e+02 1.13828733e-01 3.13176046e+01 1.54316465e-01 2.79590425e-01 5.10730659e-01],0.1030219097975470,
AT73,20190213,528271370,1168,1550087821.81307,137.7692053,3386.548820023290,111.092550661322,1550087821.82655,312.192007847629,[34.75109708 69.81327608 139.87221111 207.29291173],[1.57505889e+01 3.87316239e+02 1.45894028e-01 3.58121105e+01 1.91806760e-01 1.70710361e-01 3.00332887e-01 4.59749752e-01],0.1285079567116120,
AT73,20190213,528271370,1169,1550087829.08832,141.7206463,3509.016907344440,111.092991252819,1550087829.06249,315.435426551465,[17.71534578 34.32412962 69.9466161 140.52974594 210.5234445],[1.57115560e+01 3.89366909e+02 1.33038631e-01 3.50676759e+01 1.95720031e-01 2.15977782e-01 1.58855820e-01 2.80028502e-01 4.46441786e-01],0.1062199691446460,
