115.13974989005106,227.77972777972775,1550534608.4063637,
119.70980170946711,209.7422097422097,1550534608.4063637,
123.27444212861161,194.87344487344484,1550534608.4063637,
126.3820773658145,181.95468195468192,1550534608.4063637,
131.59193643994877,165.13591513591513,1550534608.4063637,
136.80179551408307,145.87964587964586,1550534608.4063637,
144.47948257070198,134.17963417963415,1550534608.4063637,
152.24857066370924,123.45462345462344,1550534608.4063637,
159.92625772032815,117.60461760461759,1550534608.4063637,
163.76510124863762,115.41086541086538,1550534608.4063637,
177.65805877966235,107.6108576108576,1550534608.4063637,
183.59912614490318,106.63585663585663,1550534608.4063637,
