20190212,527980909,1263,1549931283.8849282,113.6481455558242,168.74626370393412,11485.460166634433,[83.71990446],[3.01364004 475.92195649 1.87125831 0.87842918],__,-69.81999999999996,289.408,0.11375878396864135,
20190214,528448920,1154,1550158617.6652567,26.612062378725206,122.30518658879528,-5934.735732638831,[29.24855569 60.51945404 120.8952139 182.85220665 241.08010596],[1.90071014e+00 2.30617753e+02 6.70997579e-01 2.57249684e-01 1.90362663e-01 3.38001591e-01 5.13684135e-01 6.67125858e-01],__,-52.45999999999998,299.824,0.05770764036898687,
20190214,528448920,1158,1550158636.0187695,41.98648942078442,99.55666065530839,3309.252006973914,[64.624845],[2.91468272 272.2660387 0.67130791 0.51642518],__,-52.539999999999964,299.776,0.04882996144194273,
20190215,528548785,1154,1550200170.4862952,123.60947658183551,-63.88897220572306,219.1686310030033,[133.52451855],[1.89731119 143.96498386 3.31803582 0.99616074],__,-56.00999999999999,297.694,0.09164834047136557,
20190215,528639816,1158,1550244933.6128209,107.71267363179072,188.3098306953504,9441.796982594014,[93.14036517 123.67914023 153.88886089],[1.84018251 261.59426433 0.72119945 0.44735577 0.56723715 0.70778478],__,-53.15999999999997,299.40400000000005,0.12080243592150185,
20190217,528920047,1195,1550380042.6158087,102.78246965671231,176.61797745542884,8544.646693807179,[65.78434622],[2.96114199 422.15330852 1.21365748 0.59491391],__,-53.45999999999998,299.22400000000005,0.03420834343914831,
20190223,530028730,1123,1550906853.628171,86.35696701102323,227.42191043122142,13753.180001736868,[60.09545819 9.5270658],[1.67041375e+00 3.73065911e+02 9.26545543e-01 5.21788266e-01 1.34060921e-01],__,-68.30999999999997,290.314,0.1376123469284276,
20190225,530339730,1126,1551061570.9016998,126.67718517905809,228.1259662873094,6023.071021691367,[30.31130645 152.31096281 260.25236509],[0.68297336 58.702003 0.12401743 0.30682788 0.74696575 0.81063241],__,-63.359999999999985,293.284,0.17783070270960752,
20190228,531039175,1162,1551382554.4262607,119.69347312245498,159.64196923538748,3664.37542349836,[103.47703645],[1.5116464 116.08653015 0.20857559 0.72046449],__,-40.97999999999999,306.712,0.13965495325530994,
20190301,531137329,1151,1551429383.3813982,127.88733131156299,109.6328813113203,3280.8158857035046,[91.66864496 151.53554789],[1.30404624 110.86335047 0.24593897 0.37820081 0.57275802],__,-53.47999999999999,299.212,0.10022850677304997,
20190302,531307333,1097,1551502947.002282,94.93726633289069,186.12909621762353,7808.612072559326,[70.23481639 204.88405442],[2.02646191 244.66669348 0.73741751 0.37162001 0.77522059],__,-60.309999999999974,295.11400000000003,0.07572503075900285,
20190311,533031722,1139,1552343154.0894568,108.20563318059743,146.81489178829997,14661.903369219413,[26.81391435 134.05229562 166.08922399],[2.27763879e+00 4.84522296e+02 1.92188500e+00 3.03683681e-01 7.81702629e-01 1.00000000e+00],__,-53.589999999999975,299.146,0.02647335805711316,
20190313,533383043,1121,1552508030.332149,114.30845870169657,177.5953217845357,6590.304190640201,[73.33677489 152.70569948],[0.76788343 104.47177141 0.20241351 0.23014368 0.46936087],__,-56.29999999999998,297.52000000000004,0.10749227024897466,
20190316,533962126,1069,1552775378.7045567,125.09412976532472,198.0651998542246,6260.672441268756,[110.32444121],[2.2393115 226.55739799 0.53990162 0.66623628],__,-52.01999999999998,300.088,0.09699607114687853,
20190318,534249559,1123,1552918490.0879457,108.14113362614187,158.23565934472592,5705.325583523136,[70.1725473 99.1395395 108.00311037],[1.5358021 190.31574747 0.50278716 0.30996771 0.42292405 0.44643549],__,-51.29999999999998,300.52000000000004,0.07144612396885466,
20190319,534455837,1174,1553007104.6372383,154.9131200571151,161.35999684419912,5919.172872947412,[56.92778811 113.35120466],[1.04164752 113.69024069 0.15196347 0.34448647 0.69873321],__,-41.99999999999997,306.1,0.06270593156813291,
